,Total_B_1,Total_B_2,Total_B_3,Total_B_4,Total_B_5,Total_B_6,Total_B_7,Total_B_8,Total_B_9,Total_B_10,Total_M_1,Total_M_2,Total_M_3,Total_M_4,Total_M_5,Total_M_6,Total_M_7,Total_M_8,Total_M_9,Total_M_10
ABI1,25.458326003315,25.6142823091193,25.8310825939385,25.3462453497511,25.3380031969466,24.9450308291307,25.7855642165006,25.575713269257,25.9961496785147,25.7004939048879,25.2869020449386,25.751849665826,25.8023031632952,25.4830845869522,25.4716888566697,25.4515507130257,25.3757055259118,25.9182297927293,25.9832234394046,26.3604144443669
ABI3BP,22.9244650279001,27.383356643788,24.9880220411938,26.6665490927601,25.5428590046885,25.5603713213662,25.9102218342328,26.1645362498558,19.2509020720472,25.363859907572,24.7997120489909,21.3728972577929,26.9134212226139,24.666169814021,22.2290036780202,24.6207558887002,23.2988916681705,21.606710238889,22.3703786945782,22.7543273294718
ABRACL,25.7004674467697,16.976290995665,23.6230644583059,26.894348923129,21.3966818441512,24.9828971633011,27.2406355899122,26.5603130070962,25.1180691269687,25.2461563450244,25.4064263915711,25.8798657087589,27.7484242316907,27.6026495986128,25.8695720057829,26.228815021528,25.2732341563915,27.3854153430741,25.3613853587645,25.9067401602736
ACAA1,28.0897237938269,20.9771365778778,24.4593895917192,24.9989921736936,25.6438892100658,26.7189487916205,27.6966391387573,25.3737158758365,28.2465369340117,27.6990247449907,27.2794113629623,28.0638369350946,27.7815678287903,27.60611396317,27.1563420477621,28.0325987618031,28.1173855706859,28.2866553309925,28.9857387247248,28.9457006558274
ACAA2,25.1017740675326,24.3020816217846,26.9207075766924,25.6799492925461,25.2385962902241,26.3158601869185,25.0837925585355,26.1376256575318,27.0078497359037,26.1950161879936,24.8656132164364,25.7615956651028,26.4352989193705,24.183969089184,23.9676322580679,24.5925770244847,24.8363898186547,24.1881263879112,25.475559288989,22.7489338293349
ACACA,23.1652265896286,18.8173042367433,23.0926307832815,22.9090499980583,22.9927213072694,23.2679947912109,23.2293615948885,22.9224689873716,22.3284433258238,23.0140497649501,26.3625562824883,22.178240276714,23.337500459173,25.9041923031293,27.4542677867407,27.0663029054252,25.2057556707713,27.0154201570221,25.9713430479883,27.4152231426058
ACAD8,24.7626350799292,23.8312969704521,20.8385380209961,22.5944412384892,21.5944702506177,22.0210708647417,24.8080855158892,23.336275298659,24.5660456740724,23.2846046629725,25.8380743949502,20.8683881275446,23.0353363446466,21.1259051521389,25.7143702570227,26.1690366860434,28.4139732006244,24.7183740023031,26.9781469359445,25.0943022772167
ACAD9,22.7824811248385,23.1395668562636,18.8821583085625,21.3290933508517,23.027503684386,23.2448410847453,25.0342686877091,24.2772488001105,22.0933768236293,23.0587343115802,24.4434793179951,25.4893768682609,25.7181387951985,25.3682967658535,24.6055206626132,24.4405675948287,24.7168052301297,24.7326237285176,25.1249066506796,25.4764866497209
ACADM,26.042391143372,26.3330625140218,25.7535593377969,25.5774143057836,25.7063819792791,26.0667545431274,26.2426720110476,25.5026689141445,25.7719059080812,26.4156422355002,26.7798159220287,26.8823868832394,22.8189899691606,26.4252959511852,27.0552761458362,26.4868939283134,27.1634617309695,26.9029971629146,26.8137224866112,26.9911834256214
ACADS,24.1986548596651,25.0550278476816,24.0992476311855,24.9414083811787,24.4089868619591,24.2531359453596,19.0597154714105,24.3113281387721,23.1225868668527,23.9706192053893,22.4028665226266,24.467870188648,24.783917047766,24.7227054044604,24.7659764111312,25.2044502499553,23.373248565343,24.7326237285176,22.8538256517387,23.2286808415101
ACADSB,26.681773078604,19.4685859858472,23.0084277240991,23.3901167971944,22.7980662265794,26.2494333677161,26.698561185955,25.9205940099556,26.4961906217612,26.4735789248608,27.1573062227902,26.9592534462613,26.8649051452365,26.6897917840509,27.2878884790359,28.3614355607065,27.508468564045,27.0288633204477,28.0879045060185,28.8941465106361
ACADVL,28.7072776050636,27.8190329141577,27.3928024305955,27.5235770306315,28.3757138103827,28.2124321142878,28.0956206847696,27.8836691234926,28.4326095648901,28.5533274260339,28.4592801408742,27.6157561299785,27.5899228860983,27.5764342923321,27.674854631134,28.5616172255644,27.9071299755978,27.925356132459,28.1661944265554,29.1369219801187
ACAT1,28.2434076883977,28.4446644778752,28.1509307271319,28.6867899900265,28.3750509023369,28.5815432204823,28.4704558800137,28.4227001377364,28.8190938400658,28.6982631050446,28.7459267231727,29.3614773943237,28.2708841417375,28.9075311460886,29.1295715258454,28.70898828484,28.9513260735959,28.829262791508,29.3639225521869,28.3935799762701
ACAT2,28.420171944503,27.308171521249,27.5123170610879,27.0563102617438,27.3346658308562,27.4888407923842,28.4729362696809,27.1932874191121,28.5741257489198,27.7577992473747,27.4616237005853,27.9784197344781,27.7357641391771,28.1909823054888,27.153155690589,28.3321918831615,27.7174460181806,28.3271027047865,28.2105754831315,27.8302606418847
ACBD3,25.5800627739276,22.0671961668502,22.7112697124735,25.624916129264,25.8424211310851,22.5093963099528,25.1507370897863,17.3695242030128,26.2388695779558,25.9871763880634,26.1326338652639,26.6073845004964,25.5991201283867,27.5901371106203,26.940893344877,27.4125606730221,26.3250362544728,27.9985188132488,27.215397763261,25.8471133713864
ACIN1,25.1771402895572,23.5671229008273,25.7539928130994,23.5290276416262,24.759336793926,25.1421132912797,21.7258341949344,24.7465803353388,25.7000175845047,25.096274409507,25.9200714877906,26.0847659001793,25.4665017027566,27.353128514226,26.4191513866743,25.7528961235438,26.9919402634464,27.0993881048896,26.3154629049148,26.8575679878804
ACLY,28.9154457379307,26.2703495132189,26.7703943091923,27.6596931644024,27.1142608668404,27.1934754291522,28.6037463688518,26.4824384594318,28.7959404567473,28.0760738681793,29.1345004679315,29.0790533550471,28.2987648793501,29.7080509519525,29.8804613835157,30.0499905936374,29.214772703821,30.7629549928985,29.9405573525514,29.9771917346529
ACO1,27.9134212226139,28.222739268646,28.4469136029073,28.1369708576971,28.0986855995516,28.0156859984869,28.2403171392909,28.0146755402103,28.1365797906961,28.0878539374828,27.5961936241935,28.2283930279735,28.411429654341,28.1335944139335,27.8215287689828,28.4698739212958,28.3836038428704,28.5340447503984,28.047496558515,28.0658922029697
ACO2,30.1124722785036,29.686155478708,29.3093213643464,29.9827775102389,29.8111671340896,29.9826415288032,29.8053048825854,29.6427881262185,29.8976413641444,30.1450373667486,30.0856271653075,30.2999658969734,30.063425529933,30.4246234108636,30.4048684404655,30.4857736744798,30.2652829954181,30.3757552320235,30.7943608804346,30.949003374204
ACOT1,26.9167274120719,26.3237314093529,26.922977036089,26.5961936241935,26.9147902200668,26.2954404941817,26.5664231718963,26.5272214088115,26.6290922081377,26.3149445465301,26.3704768306386,26.8944645746614,27.1554737389541,26.5435523846676,26.9950715116303,26.5942013442781,26.2679233759674,26.871970267294,26.4113165036904,25.7492941420047
ACOT9,26.0682111374834,25.4941773457668,25.3095598962301,25.9581473394519,26.0214268405051,26.1020344799927,26.4695479218447,26.3122114479877,26.1523241493278,26.2290168009068,25.8882990037454,26.0712017744387,25.8650467872808,25.7944910285575,25.9946831742211,26.1410609261841,25.6312312424508,25.9214795935103,25.8632043551298,26.136648235074
ACOX3,26.1184256365013,22.2901925534814,21.7613635282803,22.498323261948,22.2328288933657,23.9026982230994,25.4710065847115,23.2538197761712,25.0677599556113,25.0543241040859,25.2469536544021,25.3045902936949,24.8683007220694,25.3115360248947,22.5253994052933,26.2564151676809,24.9397058216161,22.0218262294861,25.960888929578,24.8907359303851
ACP1,25.8692660583656,23.626689895981,25.7194189035155,25.4948792609327,23.1354571052765,26.1026752950902,25.7809924369146,25.993215177704,26.0875403729926,22.6882216228036,25.9867425274359,26.4423406478169,26.0616139521832,26.4741052242775,27.2340704134365,27.0261213553633,26.2245895211127,26.7289707109556,26.5382032624038,27.0035671500772
ACP2,22.9370823488216,20.557618166632,23.8697115869351,21.447169809794,21.2371773767346,22.4367469758721,23.0319807960588,21.7407071089493,19.501497935117,22.2747380034485,26.3310473141153,24.0746354017022,21.6665525812763,24.8817570025488,27.2874481900097,24.8368713269166,24.9650356219461,24.3952564115254,24.7118261675928,25.1949035053207
ACPP,34.3821354770641,31.8752921445182,33.1750401077205,32.6620599349432,33.2339218957554,33.7077959578314,34.4647157628759,32.8119556447456,35.0632246058709,34.1731793817927,32.9198272005612,32.0675984187097,33.5134752586329,32.8672861286841,32.6963572441695,33.1963776613706,33.2539192668726,34.0825058022196,34.8468877870033,33.932448851883
ACSL1,27.377245619595,21.8338539470814,22.2837055961684,23.3371525612922,26.730007968152,26.0714063859129,26.9891271478811,20.8130361425768,26.3423845236092,26.7239033750309,27.2735543165528,27.1256359166643,27.1144594620697,27.432211305387,27.426304174187,29.5378997483051,28.9554337882996,27.8937705263603,27.0290740251422,29.2815795320896
ACSL3,26.4288136683458,22.3339619419461,23.8048709523206,20.8620239778744,25.5611583333993,25.4983837233351,24.9449414954027,25.4829615373516,25.1393443143425,26.3714409990008,27.1525755960734,27.8982182114295,25.1461985404137,26.3446717865619,27.5151026962137,26.0514434588567,25.443542551106,27.9396049491347,26.9056389363482,26.8170209144084
ACSM3,24.8725339852033,19.8427742579956,23.6157951904662,23.0081364653948,17.9350990695536,24.960712209928,19.4819371017968,23.6748560525948,19.4532076118006,21.3794498405974,25.3676970865834,25.9835061523523,23.2794158917588,22.1776731291418,25.8937473856656,26.0254244879368,25.5685121424563,26.334921514515,25.9031581048542,25.4021054344168
ACSS1,26.3342566427258,22.9410993426928,21.72860587296,23.7245280084831,25.1632313727647,23.4830106681981,25.4878140340277,22.5064309700417,26.1732753050511,25.8577815289077,26.9850057790015,26.8794684555724,26.6283970339129,27.1273098625706,27.5232779024859,27.5099035180058,27.3398558460364,28.1684916359299,27.1123728474383,28.0912381164609
ACTA2,34.0571434782949,33.5388988830738,33.919276692541,33.705222932286,33.9313043797844,33.6450624875772,33.701509694984,33.9065208428582,34.1064162493355,33.4523100063188,33.7206946157494,32.7859694810544,34.164963556395,32.571316250518,33.2636051176858,32.2229983087442,33.3473103376143,32.2161902732825,33.4859175913876,32.5198381491593
ACTC1,37.0634657113877,36.8306894298986,36.9823737778901,37.0663758891342,37.2056918841257,36.9873593838901,36.7156154622907,36.9344055556314,36.8031610223531,36.7291034485518,36.9965428404382,36.7554582140155,36.9314364806017,36.1603121174965,36.400940110282,35.9788842257751,36.6308427798679,35.3922804214654,36.508510476436,35.6577334995516
ACTG1,34.7807292906591,34.8177414413438,34.388757042025,34.560982112801,34.7850730703455,34.6021141780774,34.2295595161709,34.5842455168151,34.876326377202,34.4705455777679,34.483216757449,34.8245382118126,34.8390226076428,34.3161499826264,34.2116868479053,34.0962398449432,34.3718537943412,33.8635987272112,34.6235846396536,34.522623343361
ACTG2,26.0811734442774,24.5305887467158,27.1356505814985,26.885415798359,27.0318103894775,26.6964401600603,25.5965633163105,27.3387513416669,27.1165430631236,26.66329489204,27.2992017287223,26.7332445985778,23.5232971565234,26.0218503964411,20.8128778963416,25.2154162794104,25.5044582377448,21.6239894031667,23.0391896650005,21.9565040740821
ACTL6A,25.7614688559508,22.6230246777889,25.4649761778029,25.4802826087006,25.4116720901417,25.6597884200917,25.3445194151301,25.1131879799496,25.5621778956153,25.536914738421,25.632063774669,26.2235956505837,20.8261085189332,26.1930429694249,26.1258723562176,26.2573147493385,25.8743176401531,26.48692460796,26.1909540567697,26.3768814447887
ACTN1,34.6628876003492,33.6746147455508,33.9293655101646,34.7754896206132,34.7750480318408,34.2750319129921,33.7553338491138,34.3626090562179,33.9823525256891,34.0786939784596,34.2584193427806,33.6228758995153,34.4001926122422,33.6255999195098,33.5356584307934,33.0829022886158,33.8660887566658,32.5938586439257,33.2138461917616,32.7741939100916
ACTN4,32.4832287723482,32.7667110352203,32.297781484351,32.9938002615924,32.6117962134063,32.7770194160663,32.4243230683954,32.8128546334049,32.6162295385388,32.8098877585232,32.3344207581547,31.9274416929288,32.5292719881337,32.2432317503239,31.9770552256836,32.2549893065741,31.9893234324605,32.0576276853949,32.0340036241464,32.5866072790986
ACTR1A,24.9832451885215,18.309626553717,25.6323689161488,25.6044181709784,25.4466060349021,25.7170144983402,25.2318387529605,25.5418256929393,25.9913780789864,25.6063399182661,25.4024958267993,26.086832073349,24.8897152430869,25.4649138772009,25.1639990904503,25.4714097844117,25.1339471079924,25.4472999415814,25.1508145478434,24.817289343219
ACTR1B,26.1530010215235,26.8050126818395,27.0694818914126,26.8930761440073,26.7480402809124,27.3209632936482,26.9186620063823,27.1589438429504,27.1751234121026,26.862897054218,26.8023031632952,26.9322446741749,26.6380991218623,26.8409816747014,26.9965807197611,26.80624260096,26.7432964671281,27.1264238978628,27.0296006522847,26.9295383515913
ACTR2,28.9312867654282,28.7053671430759,28.3458732639481,28.6588764289704,28.9752520956991,28.66183489764,28.2695026126716,28.3292859798455,28.4513620555653,28.7029589945756,28.8261741559951,28.6373737241896,28.5870992924798,28.6494848504857,28.4128029188527,28.890150283359,28.6674968536018,28.4442695327494,28.2114576808571,28.8585464581398
ACTR3,29.841356671465,29.3354540433091,29.5838399346288,29.9165565879594,30.0151808578137,29.6461747156738,29.5895479166248,29.3402167506714,29.7675715703762,29.7035531581024,29.8141810527893,29.8229573756482,29.736780399961,29.7335840239098,29.3752788113362,29.9139917961,29.907416537331,29.5561812783299,29.6326670602516,29.816975154515
ACY1,20.4965583063186,24.2198532967195,23.7700161618726,23.1271758537367,22.600307358248,24.1903136040651,24.9602703160747,23.5400224116919,25.27173913549,25.1918577415437,25.110721289907,27.0033526867141,26.0614903526423,24.6658988395756,26.8319523859911,26.013099941113,26.1659549234187,27.6276319551701,27.8656722066861,27.4073020002906
ADAM10,27.3474793110322,26.7564636835306,27.6175087177701,26.6973684926093,26.2889798163402,27.0694818914126,27.12927672728,26.4062317396651,28.3644027372199,27.2021909474771,26.6722263409481,26.759514586155,26.6096404744368,27.2482573927611,27.0320206642251,27.9608005724588,26.863606111428,27.0602331558642,28.1990107314986,26.4256321038134
ADAR,22.4589596917958,24.5766361142353,24.573461358428,23.6004732744434,22.7530310141007,24.6827108940511,25.2205545747833,23.5538823797323,23.0603101820441,24.4225878676209,25.3063994031758,26.475203642598,25.7286593883179,27.4110255041182,26.407998864396,26.0213844780715,25.6956439707239,26.5229787123063,25.9857875745359,27.0686621782991
ADD1,26.3981793765751,26.9737751294449,26.5489846072713,26.3828456314224,26.7386658442624,26.8809867747194,26.1223216877674,26.6654651745717,26.3113627885395,26.5119703626641,26.2388877952974,26.3973471795789,25.4043162624237,26.3596271893457,25.4403141235686,26.1071131300856,25.9001201726881,26.4008196461397,25.7718555469599,25.7874586295567
ADD3,25.2130813711239,26.8575679878804,26.2336133870948,23.4173358497888,25.6595979024234,26.4140135382414,26.2344542037094,26.2855269582189,26.0916820164224,26.0705877658433,25.5182732741833,25.8555734126354,25.4945741223866,26.3638264959984,25.1752757276771,25.6411624920779,25.1632697683532,25.6626703310895,25.4163189746452,25.3534987337624
ADH1B,23.2949305864659,29.6565427835737,26.0444771689536,27.1382899267551,26.4843145060726,28.4441905307484,26.2600639899901,28.8895702005057,25.6272283865903,26.2997083083313,27.4294204062753,26.9270530882017,23.400272821808,24.0087260980092,22.341305764705,22.8309488290629,24.3015235462335,21.2661896025586,23.5448736206147,21.3532333322237
ADH5,29.743585388155,30.0727816448085,30.7077548255262,29.9188325813967,29.9166989427911,30.3136521594661,29.6855875214102,29.9465653886188,29.8108301631687,29.818941520471,29.761877775482,29.6374255504067,30.0507690962415,29.5285596001578,29.6114356814388,29.5935960002479,29.6954614487653,29.5418736845144,29.9295947851238,28.6519838542305
ADI1,25.3651289743348,25.1404369399971,23.831523727217,24.6388724775715,22.4718661852946,25.3546760733577,25.1827953197795,24.5292189203723,24.9170689996291,24.6239957674139,23.0703948580806,22.549493784399,22.3409699784643,20.3516766055036,25.0802180103319,25.3339837861486,25.6848789318301,24.8707010960702,22.4760717729135,25.5012723070259
ADIRF,27.0739820071979,22.8967484047976,30.4093268357681,23.6243925392693,22.1501803298998,26.6875243388751,22.9449716331844,28.3822024876938,28.7253344266338,22.1145303960724,26.2496503660055,26.519563551555,26.637684653569,28.2319668924489,28.1058950844981,26.3137689108786,28.0952685564084,27.0143563010334,28.7014725143048,25.0354857800762
ADK,26.8160443884107,21.9305222385373,22.2399393935948,25.9832669373104,26.5622798122189,26.3209116634135,26.6812369102281,26.0957112181725,26.5122416989524,26.5590003124793,26.2808276792286,26.6626160086615,26.7525133612049,27.2624854474388,27.4900658161087,26.8689129614744,26.3670804896973,27.4241428328975,27.1495747196086,27.1360419004244
ADPRHL2,21.561042729861,22.5854206927159,19.0457625341326,25.1062945570303,25.1517437202934,26.1122932976517,25.8980913248148,22.4098081317971,25.8717823123655,22.6377538888385,26.1774824983054,26.0349612971967,24.6121742355268,26.2616608146408,26.412932099999,25.9192077754532,26.3115706696697,26.3072857343075,26.0845023516525,26.5764342923321
ADSL,22.3489148669345,22.2869231898852,19.2690970274304,23.3858760892644,24.3537342785573,23.526236542329,23.9338210210556,21.7613521954191,24.1858602556464,23.416480056235,24.4364431587226,24.8238138611053,24.651573356279,24.1470918620899,26.1685394555835,24.3781556546311,23.7512367528206,26.3184312367278,24.5694106296483,24.7315365625611
ADSS,25.5528878703384,24.8451760811473,24.4607023545915,24.718164931215,24.5890370871168,23.1892921264712,23.5913024254878,25.1491870546752,25.0762268121561,24.8966140049638,21.2494404956262,25.4128998057968,22.3089318885852,25.045227400401,25.0253399962799,25.5807528797942,24.6000281262396,25.0530813655812,25.0249174637556,25.5560789299792
AEBP1,28.193804387778,28.7866550541384,28.7029259783147,28.4689811284043,28.3644444848881,28.0681496209907,27.8478660600426,29.1643492259725,28.4602961508586,28.6651262830616,27.704575866467,27.554425729719,28.2222325668911,28.3986849873323,27.0365341741642,27.2001339613283,27.8687952433037,24.8165083206774,25.7079094769094,27.3646949455306
AFG3L2,24.5214518765028,23.9059326419279,22.4808845602329,23.3877970317038,24.3156874690549,24.30305773484,23.8354745099746,23.5407410147883,23.9348109868129,24.4002170472371,24.3228551274354,24.0417647470784,23.0871347664427,24.7142392280012,24.0321257901071,23.8893903274513,24.2225826707415,23.7655718132064,25.0396329630319,24.7417545770195
AFM,21.8979754753873,29.4859847476984,27.7891142028514,28.1754089906145,27.4487655106551,28.3429948150506,28.5120909628703,28.2292644006704,26.5562982389835,28.174313965863,24.6076666902364,25.6014740676815,26.2825961215203,25.5542061358616,26.7490639226695,26.7657235507255,26.464306305298,24.5380700201746,23.0323454278464,25.6669824321163
AGA,25.9669065507908,21.8006542509286,26.0843806976309,21.3979417818404,26.0337647627879,25.6516007264432,25.6549086895753,23.382928475678,27.4445065127988,25.5333245036524,27.5105072824176,27.9676872210197,26.2189854546696,26.1537355519476,29.3100585173093,27.7472720726722,25.5485143293628,28.283700298158,27.7631291731024,26.1468782920055
AGK,24.7943174951177,21.458069322093,19.0421008041141,25.0603568631549,23.0300243786796,20.026722734317,25.1074524022594,19.2264589445441,21.7471343241924,22.3316354833679,21.6665109397419,25.0033312386243,21.948463000428,25.3120902414839,25.2339972989503,25.0753701169745,24.6034280375716,25.5853165122341,24.8189476135635,25.5457777997423
AGL,26.5784512419888,25.0025588949501,26.2812169225675,26.693784485052,26.2979957030305,26.1471695161008,27.145207471523,26.5837682176282,26.4028373334978,26.7303967474153,25.384361656048,25.3670638212586,26.7184262653414,26.4620607437368,25.9825490541054,25.796200456455,25.3394311367276,26.7574813681092,26.3444686210764,25.9992287956862
AGO1,22.3426869622288,25.1626169043357,24.0958721524178,24.6371594894058,24.5660456740724,24.8460852573089,24.5174925462828,24.5571313092905,24.4195050475028,25.0226759730249,24.56505790482,24.5565467488932,24.3735831348841,24.5527999431263,24.0405947458225,24.4358075822372,24.1137046547174,24.310010830572,24.5456305273541,24.7257244672006
AGR2,27.7219496505763,28.4670383661381,26.4006242362349,28.393907238594,29.7078699930258,29.6059550673011,27.6647873119266,28.3026917698338,22.4700547899254,28.6482508695254,30.7627174405435,30.0115865984133,29.449060808037,29.4085172425701,31.762083776301,29.797394615009,30.2479632491855,31.2202616481015,26.3292517578885,22.9676767608634
AGRN,27.1547980261663,27.3005987584662,27.250789071848,26.9705972650947,26.1400468115359,26.8153115598946,27.5471614258351,27.4143361985818,28.0701475655457,27.8423611824017,27.6991571630762,27.2613200678414,27.1219858947841,27.7360223049795,27.4447434539278,27.3479016580129,27.628605621355,26.7112222713223,27.8391803321763,25.7702934795981
AGT,26.8013166207892,28.5504312200367,28.0400407535959,27.8204944262906,27.6854538518983,28.2519178529407,28.9094781032544,29.2248332829177,27.3522867526986,27.9487110333719,26.8444579055541,26.1147970112319,27.7128627043111,26.3661801183091,27.0017431944782,27.1264238978628,26.8819203313585,26.1415677163138,26.7696379154101,26.9380910149472
AHCY,29.750102815941,29.6216713331876,29.8482094184633,29.5396570235374,29.4447434539278,29.5886904774014,29.6666845252916,29.2124089211389,29.6715347770469,29.5834454470006,29.790621859368,29.8522489344238,29.6863391817376,29.9427958247474,30.1764080704697,29.7950889392787,29.9933447669109,29.8749185402006,29.6088125188003,29.7998509767238
AHCYL1,26.7384081511224,26.448166855851,26.4563374933851,26.3451288043243,27.0322309083294,26.8928446089336,26.6056902019566,26.0247906798632,26.9347210179911,27.3750923430149,27.098785978403,27.0644538229493,26.0377703000817,26.5670182563042,27.4396009968004,27.46185784731,27.1410219349531,27.0034599223808,27.1263254237464,27.5208077259233
AHNAK,32.9649743630414,33.8475412872109,33.9020340101042,33.2833360132841,33.2205787904693,33.7289261245955,33.1544841947597,33.3201240733067,33.0593211316002,33.3963695509796,33.2564522865183,33.3047056051263,33.0983122544081,33.134212796222,32.9266113648248,33.9508117859278,33.1400772941212,32.7752541234218,33.0836632371848,32.5452659635302
AHNAK2,25.4840071245777,25.9289964773325,25.6839157616911,27.8102326121261,26.9858744145607,26.670066213214,25.4521165374308,26.4351558256199,22.8958493951326,25.78673605489,26.5739813422292,21.3897357542165,24.819629877141,25.8916400271888,22.7784891117714,26.3250362544728,26.1133469765103,25.6231027342434,23.0835432011665,21.4212766940489
AHSA1,26.6571734103331,25.3835379272565,26.4082418773568,26.3671804962855,26.6447144718144,26.3178277104575,25.9697852395393,26.1781096702658,26.7349247811221,26.2858620360058,26.7202542799377,26.906671358399,26.765344177,26.9096497675133,27.1822459706282,27.2125248831552,26.6371318438905,27.0275984456322,26.3280706029868,27.0604393287893
AHSG,28.549366595227,31.3766869046687,30.7540597351792,30.7988473090338,29.6639395354846,31.0086513073888,30.7118622620807,30.7726611140176,29.6322163534764,30.1887206582716,29.1055454552736,28.8259316301939,29.7963892364025,28.8859103053491,29.1485568769009,29.5873318222272,29.6694918852076,28.0883595430956,29.1801603288601,28.734666418829
AIFM1,27.0692770067938,25.9704436736892,25.2087350616612,25.9154742319521,25.2488002695468,25.9696974256102,26.1949974081593,25.6774781418281,26.5165310700453,26.5953401268066,26.8538853685423,26.5633567761853,25.9115252987774,26.9866340418893,27.1639415257928,27.6973684926093,27.0414514469126,27.4759921315136,27.3353475532745,27.6437516205334
AIMP1,26.132045458447,26.4954740955327,25.695564327618,23.0676623734828,21.9066439618198,26.4636984774164,25.5378331147114,19.0398816744259,25.3917213552051,26.5115180220819,26.6436140178779,27.5792428442259,26.9334833774044,27.5960514096889,27.7341495553964,27.7039161376093,27.3305687175853,28.0379482987661,27.5935603838643,27.9863085362945
AIMP2,25.5043369977732,25.4062966265519,23.6380539439109,23.7468274355321,25.0593256448004,25.1912176899733,25.3863366883555,24.531600391763,25.6446869706937,25.428733815408,25.3925076721838,26.4424513913104,25.4858811337954,25.8865325614969,25.9188666939796,26.027893682296,25.6758373246865,26.5840550642423,26.2518185556368,26.6677675280943
